City,Coordinates,Pollutant,Unit,Value,Last Updated,Country Label
Lot-et-Garonne,"44.5086670422713, 0.142503346781016",PM2.5,µg/m³,4.9,2023-02-27T05:00:00+01:00,France
Côte-d'Or,"47.3080413032157, 5.06611192686193",NO2,µg/m³,3.3,2023-02-27T06:00:00+01:00,France
Côte-d'Or,"47.3455490718848, 5.00222374385535",PM10,µg/m³,19.08,2018-07-06T14:00:00+02:00,France
Saône-et-Loire,"46.821089115795, 4.8350023537165",PM10,µg/m³,5.3,2023-02-27T02:00:00+01:00,France
Doubs,"47.2946392167447, 6.82585766953502",PM10,µg/m³,5.5,2023-02-27T06:00:00+01:00,France
Isère,"45.0578285069866, 5.67669682547797",O3,µg/m³,32.5,2023-02-27T06:00:00+01:00,France
Isère,"45.2796839983541, 5.88220441302599",NO2,µg/m³,15.7,2023-02-27T06:00:00+01:00,France
Tarn,"43.928056, 2.146111",PM10,µg/m³,3.2,2023-02-27T06:00:00+01:00,France
Puy-de-Dôme,"45.7721438747978, 3.08750064836595",PM10,µg/m³,3.9,2023-02-27T05:00:00+01:00,France
Pyrénées-Atlantiques,"43.4797361162024, -1.48805926814399",PM10,µg/m³,6.8,2023-02-27T05:00:00+01:00,France
Loire,"45.4752955881989, 4.51500448320744",O3,µg/m³,63.1,2023-02-27T06:00:00+01:00,France
Haute-Loire,"45.0389788682649, 3.88700125123233",NO2,µg/m³,6.9,2023-02-27T06:00:00+01:00,France
Haute-Savoie,"45.9071974626627, 6.84583620145384",PM10,µg/m³,12.1,2023-02-27T06:00:00+01:00,France
Sainte-Luce,"14.4688323314949, -60.9274256616508",O3,µg/m³,33.5,2023-02-27T06:00:00+01:00,France
Paris,"48.8916699435252, 2.34666901670543",O3,µg/m³,49.6,2023-02-27T06:00:00+01:00,France
Seine-Saint-Denis,"48.902477279391, 2.45249954032755",PM10,µg/m³,11.6,2023-02-27T05:00:00+01:00,France
Hautes-Alpes,"44.5552221289565, 6.07306047829002",O3,µg/m³,68.7,2023-02-27T06:00:00+01:00,France
Bouches-du-Rhône,"43.2763488363056, 5.3976711150776",PM2.5,µg/m³,11.5,2023-02-27T05:00:00+01:00,France
Seine-et-Marne,"48.3547092558406, 2.64529596660528",SO2,µg/m³,0.7,2021-01-04T12:00:00+01:00,France
Seine-et-Marne,"48.8402588440243, 2.63527975118735",O3,µg/m³,54.5,2023-02-27T06:00:00+01:00,France
Seine-Maritime,"49.5146953797856, 0.100645447802183",NO2,µg/m³,5.2,2023-02-27T06:00:00+01:00,France
Vaucluse,"43.9601669829441, 4.85720870753994",PM2.5,µg/m³,4.5,2023-01-05T12:00:00+01:00,France
Hauts-de-Seine,"48.8813919489129, 2.27805569530438",SO2,µg/m³,2.9,2021-01-04T14:00:00+01:00,France
Bouches-du-Rhône,"43.2947895081236, 5.57173766768144",NO2,µg/m³,11.6,2023-02-27T06:00:00+01:00,France
Meurthe-et-Moselle,"48.914994331958, 6.05833709078331",PM10,µg/m³,8.1,2023-02-27T05:00:00+01:00,France
Saint-Pierre,"-21.3344236402583, 55.4590212011017",NO2,µg/m³,12.4,2023-02-27T04:00:00+01:00,France
Reunion,"-20.8847369878067, 55.4538109724538",SO2,µg/m³,0.6,2023-02-27T04:00:00+01:00,France
Vendée,"46.6607217865267, -1.43682834749065",PM10,µg/m³,20.1,2022-11-21T02:00:00+01:00,France
Mayenne,"47.787711631788, -0.444044431462552",NO2,µg/m³,3.6,2023-02-27T03:00:00+01:00,France
Corse-du-Sud,"41.9492475343375, 8.7575858733528",O3,µg/m³,69.3,2023-02-27T03:00:00+01:00,France
Guadeloupe,"16.256102565157, -61.5902925098026",NO2,µg/m³,9.2,2023-02-26T22:00:00+01:00,France
Doubs,"47.3512703177986, 6.3597218686054",NO2,µg/m³,2.9,2023-02-26T17:00:00+01:00,France
Puy-de-Dôme,"45.9293204617359, 2.82980992596343",PM10,µg/m³,6.9,2022-12-25T11:00:00+01:00,France
Yonne,"48.2005841475738, 3.277224836372",O3,µg/m³,39.0,2022-06-30T10:00:00+02:00,France
Loire-Atlantique,"47.2043914135194, -1.552827800129",NO2,µg/m³,1.7,2021-12-28T03:00:00+01:00,France
Hautes-Pyrénées,"43.0949969994643, -0.051944",CO,µg/m³,149.0,2018-08-10T09:00:00+02:00,France
Bas-Rhin,"48.5703749994675, 7.766331",PM10,µg/m³,20.13,2018-08-23T14:00:00+02:00,France
Moselle,"49.158413999469, 6.731664",NO2,µg/m³,11.2,2020-05-05T08:00:00+02:00,France
Côte-d'Or,"47.304163999465, 5.02",O3,µg/m³,50.68,2018-07-11T15:00:00+02:00,France
Pas-de-Calais,"50.9508329994749, 1.8425",NO2,µg/m³,4.7,2018-04-25T02:00:00+02:00,France
Nord,"51.0513889994753, 2.423056",PM10,µg/m³,10.65,2018-04-25T02:00:00+02:00,France
Pas-de-Calais,"50.7483329994742, 2.254722",PM10,µg/m³,5.6,2018-04-25T02:00:00+02:00,France
Pas-de-Calais,"50.7483329994742, 2.254722",O3,µg/m³,60.28,2018-04-25T02:00:00+02:00,France
Loire,"45.4211999994632, 4.411978",PM10,µg/m³,9.4,2018-02-01T09:00:00+01:00,France
AIR RHONE ALPES,"45.5259808277432, 4.8754085751962",PM10,µg/m³,53.75,2016-12-05T02:00:00+01:00,France
Savoie,"45.569451889306, 5.93298617603727",PM10,µg/m³,3.8,2023-02-27T05:00:00+01:00,France
Loire,"45.4200881308329, 4.39542075258545",PM10,µg/m³,5.4,2023-02-27T06:00:00+01:00,France
Côtes-d'Armor,"48.5134875186338, -2.74952748902167",PM2.5,µg/m³,5.3,2023-02-27T05:00:00+01:00,France
Marne,"49.224144731874, 4.02055378452238",PM10,µg/m³,4.7,2023-02-27T06:00:00+01:00,France
Gers,"43.6302520650036, 0.179722345632656",PM2.5,µg/m³,4.8,2023-02-27T06:00:00+01:00,France
Seine-Maritime,"49.3581973720086, 1.00785584986506",PM10,µg/m³,9.4,2023-02-27T06:00:00+01:00,France
Nord,"51.0485717254673, 2.42004340911231",PM10,µg/m³,5.5,2022-06-14T12:00:00+02:00,France
Marne,"49.0461163533504, 3.95591101667714",PM2.5,µg/m³,3.0,2023-02-27T05:00:00+01:00,France
Hérault,"43.6757493538059, 4.08842150423761",NO2,µg/m³,6.1,2023-02-27T06:00:00+01:00,France
Finistère,"48.3863972226844, -4.48681534959177",O3,µg/m³,64.8,2023-02-27T06:00:00+01:00,France
Oise,"49.2595681690121, 2.47440046695438",CO,µg/m³,-11.0,2023-02-27T06:00:00+01:00,France
Doubs,"47.2474002555546, 6.01541558650808",PM2.5,µg/m³,3.6,2023-02-27T05:00:00+01:00,France
Nord,"50.3585299553631, 3.50803796547367",O3,µg/m³,49.1,2023-02-27T06:00:00+01:00,France
